Date,Price,Open,High,Low,Vol.,Change %
"Jul 10, 2020","3185,04","3152,47","3186,82","3136,22",-,1.05%
"Jul 09, 2020","3152,05","3176,17","3179,78","3115,7",-,-0.56%
"Jul 08, 2020","3169,94","3153,07","3171,8","3136,53",-,0.78%
"Jul 07, 2020","3145,32","3166,44","3184,15","3142,93",-,-1.08%
"Jul 06, 2020","3179,72","3155,29","3182,59","3155,29",-,1.59%
"Jul 02, 2020","3130,01","3143,64","3165,81","3124,52",-,0.45%
"Jul 01, 2020","3115,86","3105,92","3128,44","3101,17",-,0.50%
"Jun 30, 2020","3100,29","3050,2","3111,51","3047,83",-,1.54%
"Jun 29, 2020","3053,24","3018,59","3053,89","2999,74",-,1.47%
"Jun 26, 2020","3009,05","3073,2","3073,73","3004,63",-,-2.42%
"Jun 25, 2020","3083,76","3046,6","3086,25","3024,01",-,1.10%
"Jun 24, 2020","3050,33","3114,4","3115,01","3032,13",-,-2.59%
"Jun 23, 2020","3131,29","3138,7","3154,9","3127,12",-,0.43%
"Jun 22, 2020","3117,86","3094,42","3120,92","3079,39",-,0.65%
"Jun 19, 2020","3097,74","3140,29","3155,53","3083,11",-,-0.56%
"Jun 18, 2020","3115,34","3101,64",3120,"3093,51",-,0.06%
"Jun 17, 2020","3113,49","3136,13","3141,16","3108,03",-,-0.36%
"Jun 16, 2020","3124,74",3131,"3153,45","3076,06",-,1.90%
"Jun 15, 2020","3066,59","2993,76","3079,76","2965,66",-,0.83%
"Jun 12, 2020","3041,31","3071,04","3088,42","2984,47",-,1.31%
"Jun 11, 2020","3002,1","3123,53","3123,53","2999,49",-,-5.89%
"Jun 10, 2020","3190,14","3213,42","3223,27","3181,49",-,-0.53%
"Jun 09, 2020","3207,18","3213,32","3222,71","3193,11",-,-0.78%
"Jun 08, 2020","3232,39","3199,92","3233,13",3196,-,1.20%
"Jun 05, 2020","3193,93","3163,84","3211,72","3163,84",-,2.62%
"Jun 04, 2020","3112,35","3111,56","3128,91","3090,41",-,-0.34%
"Jun 03, 2020","3122,87","3098,9","3130,94","3098,9",-,1.36%
"Jun 02, 2020","3080,82","3064,78","3081,07","3051,64",-,0.82%
"Jun 01, 2020","3055,73","3038,78","3062,18","3031,54",-,0.38%
"May 29, 2020","3044,31","3025,17","3049,17","2998,61",-,0.48%
"May 28, 2020","3029,73","3046,61","3068,67","3023,4",-,-0.21%
"May 27, 2020","3036,13","3015,65","3036,25","2969,75",-,1.48%
"May 26, 2020","2991,77","3004,08","3021,72","2988,17",-,1.23%
"May 22, 2020","2955,45","2948,05","2956,76","2933,59",-,0.24%
