Date,Price,Open,High,Low,Vol.,Change %,Date,Price,Open,High,Low,Vol.,Change %
"Jan 28, 2007","3,03","3,08","3,09","2,99",3.62B,-0.66%,"Jan 28, 2007","1448,39","1422,03","1449,33","1418,46",13.90B,1.84%
"Jan 21, 2007","3,05","3,18","3,18","3,04",5.49B,-3.48%,"Jan 21, 2007","1422,18","1430,47","1440,69","1416,96",13.92B,-0.58%
"Jan 14, 2007","3,16","3,42","3,49","3,15",6.66B,-6.51%,"Jan 14, 2007","1430,5","1430,73","1435,27","1424,21",10.89B,-0.02%
"Jan 07, 2007","3,38","3,07","3,49","3,04",9.87B,11.18%,"Jan 07, 2007","1430,73","1409,26","1431,23","1403,97",14.11B,1.49%
"Dec 31, 2006","3,04","3,08","3,09","2,92",2.94B,0.33%,"Dec 31, 2006","1409,71","1418,03","1429,42","1405,75",9.35B,-0.61%
"Dec 24, 2006","3,03","2,94","3,05","2,74",4.65B,3.06%,"Dec 24, 2006","1418,3","1410,75","1427,72","1410,45",6.16B,0.53%
"Dec 17, 2006","2,94","3,13","3,14","2,91",3.73B,-6.07%,"Dec 17, 2006","1410,76","1427,08","1431,81","1410,28",11.64B,-1.14%
"Dec 10, 2006","3,13","3,17","3,21","3,05",3.97B,-0.63%,"Dec 10, 2006","1427,09","1409,81","1431,63","1404,75",13.54B,1.22%
"Dec 03, 2006","3,15","3,28","3,3","3,1",3.80B,-3.37%,"Dec 03, 2006","1409,84","1396,67","1418,27","1396,67",13.43B,0.94%
"Nov 26, 2006","3,26","3,3","3,33","3,2",4.94B,-0.31%,"Nov 26, 2006","1396,71","1400,95","1406,3","1377,83",14.95B,-0.30%
"Nov 19, 2006","3,27","3,05","3,32","3,04",2.39B,6.51%,"Nov 19, 2006","1400,95","1401,17","1407,89","1397,85",8.21B,-0.02%
"Nov 12, 2006","3,07","2,97","3,08","2,95",2.86B,3.37%,"Nov 12, 2006","1401,2","1380,58","1403,76","1378,8",13.81B,1.47%
"Nov 05, 2006","2,97","2,82","3,02","2,8",2.95B,6.07%,"Nov 05, 2006","1380,9","1364,27","1388,92","1364,27",13.29B,1.22%
"Oct 29, 2006","2,8","2,86","2,92","2,78",2.51B,-2.44%,"Oct 29, 2006","1364,3","1377,3","1381,95","1360,98",13.46B,-0.95%
"Oct 22, 2006","2,87","2,86","2,95","2,85",2.80B,0.35%,"Oct 22, 2006","1377,34","1368,58","1389,45","1363,94",13.56B,0.64%
"Oct 15, 2006","2,86","2,69","2,86","2,64",4.29B,6.72%,"Oct 15, 2006","1368,6","1365,61","1372,87","1356,87",12.63B,0.22%
"Oct 08, 2006","2,68","2,64","2,75","2,59",2.82B,1.13%,"Oct 08, 2006","1365,62","1349,58","1366,63","1343,57",11.83B,1.19%
"Oct 01, 2006","2,65","2,68","2,72","2,61",3.49B,-3.64%,"Oct 01, 2006","1349,59","1335,82","1353,79","1327,1",13.20B,1.03%
"Sep 24, 2006","2,75","2,64","2,78","2,63",3.91B,5.36%,"Sep 24, 2006","1335,85","1314,78","1340,28","1311,58",12.80B,1.60%
"Sep 17, 2006","2,61","2,64","2,72","2,59",3.70B,-1.51%,"Sep 17, 2006","1314,78","1319,85","1328,53","1310,94",12.05B,-0.37%
"Sep 10, 2006","2,65","2,59","2,68","2,55",5.57B,2.32%,"Sep 10, 2006","1319,66","1298,86","1324,65","1290,93",13.44B,1.60%
"Sep 03, 2006","2,59","2,46","2,63","2,45",4.15B,6.15%,"Sep 03, 2006","1298,92","1310,94","1314,67","1292,13",8.90B,-0.92%
"Aug 27, 2006","2,44","2,45","2,45","2,33",3.35B,-0.81%,"Aug 27, 2006","1311,01","1295,09","1312,03","1293,97",9.76B,1.23%
"Aug 20, 2006","2,46","2,4","2,47","2,36",2.84B,1.23%,"Aug 20, 2006","1295,09","1302,3","1302,49","1289,82",9.16B,-0.55%
"Aug 13, 2006","2,43","2,29","2,45","2,27",3.48B,7.05%,"Aug 13, 2006","1302,3","1266,67","1302,3","1266,67",11.50B,2.81%
"Aug 06, 2006","2,27","2,42","2,49","2,23",4.69B,-6.97%,"Aug 06, 2006","1266,74","1279,31","1283,74","1261,3",11.47B,-0.99%
"Jul 30, 2006","2,44","2,39","2,5","2,32",4.85B,4.27%,"Jul 30, 2006","1279,36","1278,53","1292,92","1265,71",12.86B,0.06%
"Jul 23, 2006","2,34","2,19","2,35","2,16",3.64B,7.83%,"Jul 23, 2006","1278,55","1240,25","1280,42","1240,25",12.80B,3.08%
"Jul 16, 2006","2,17","1,85","2,2","1,84",6.29B,19.89%,"Jul 16, 2006","1240,29","1236,2","1262,56","1224,54",12.38B,0.33%
"Jul 09, 2006","1,81","1,99","2,02","1,79",4.53B,-8.59%,"Jul 09, 2006","1236,2","1265,46","1274,06","1228,45",11.43B,-2.31%
"Jul 02, 2006","1,98","2,05","2,08","1,95",2.15B,-3.41%,"Jul 02, 2006","1265,48","1270,06","1280,38","1263,13",7.28B,-0.37%
"Jun 25, 2006","2,05","2,11","2,11","1,98",3.48B,-2.38%,"Jun 25, 2006","1270,2","1244,5","1276,3","1237,59",11.84B,2.07%
"Jun 18, 2006","2,1","2,07","2,15","2,04",3.89B,1.94%,"Jun 18, 2006","1244,5","1251,54","1257,96","1237,17",11.28B,-0.56%
"Jun 11, 2006","2,06","2,12","2,13","2,02",4.71B,-2.83%,"Jun 11, 2006","1251,54","1252,27","1258,64","1219,29",13.69B,-0.06%
"Jun 04, 2006","2,12","2,18","2,2","2,04",4.26B,-3.64%,"Jun 04, 2006","1252,3","1288,16","1288,16","1235,18",13.41B,-2.79%
"May 28, 2006","2,2","2,26","2,26","2,1",3.47B,-3.08%,"May 28, 2006","1288,22","1280,04","1290,68","1259,38",9.52B,0.63%
"May 21, 2006","2,27","2,28","2,33","2,2",3.23B,-1.30%,"May 21, 2006","1280,16","1267,03","1280,54","1245,34",12.56B,1.04%
"May 14, 2006","2,3","2,41","2,44","2,24",3.87B,-4.96%,"May 14, 2006","1267,03","1291,19","1297,88","1256,28",13.24B,-1.87%
"May 07, 2006","2,42","2,61","2,64","2,39",3.05B,-5.84%,"May 07, 2006","1291,24","1325,76","1326,7","1290,38",11.68B,-2.60%
"Apr 30, 2006","2,57","2,53","2,6","2,47",3.63B,2.39%,"Apr 30, 2006","1325,76","1310,61","1326,53","1303,46",11.96B,1.16%
"Apr 23, 2006","2,51","2,39","2,55","2,34",3.55B,5.02%,"Apr 23, 2006","1310,61","1311,28","1316,04","1295,57",12.18B,-0.05%
"Apr 16, 2006","2,39","2,38","2,5","2,3",5.07B,0.84%,"Apr 16, 2006","1311,28","1289,12","1318,16","1280,74",11.74B,1.72%
"Apr 09, 2006","2,37","2,51","2,53","2,35",3.32B,-4.82%,"Apr 09, 2006","1289,12","1295,51","1300,74","1282,96",7.96B,-0.49%
"Apr 02, 2006","2,49","2,27","2,57","2,18",8.19B,11.16%,"Apr 02, 2006","1295,5","1302,88","1314,07","1294,18",11.43B,0.05%
"Mar 26, 2006","2,24","2,16","2,27","2,06",7.03B,4.67%,"Mar 26, 2006","1294,87","1302,95","1310,15","1291,84",10.85B,-0.62%
"Mar 19, 2006","2,14","2,33","2,34","2,11",5.80B,-7.36%,"Mar 19, 2006","1302,95","1307,25","1310,88","1295,81",10.47B,-0.33%
"Mar 12, 2006","2,31","2,32","2,43","2,29",3.96B,2.21%,"Mar 12, 2006","1307,25","1281,58","1310,45","1281,58",11.37B,2.02%
"Mar 05, 2006","2,26","2,42","2,42","2,23",4.28B,-6.61%,"Mar 05, 2006","1281,42","1287,23","1288,23","1268,42",11.25B,-0.45%
"Feb 26, 2006","2,42","2,57","2,59","2,41",4.19B,-5.10%,"Feb 26, 2006","1287,23","1289,43","1297,57","1278,66",11.30B,-0.17%
"Feb 19, 2006","2,55","2,52","2,61","2,43",3.15B,1.59%,"Feb 19, 2006","1289,43","1287,24","1294,17","1281,33",8.40B,0.17%
"Feb 12, 2006","2,51","2,38","2,54","2,31",4.73B,4.58%,"Feb 12, 2006","1287,24","1266,99","1289,47","1258,34",10.99B,1.60%
